,0
1,누군가 말해 주었으면 싶다. 
2,모두들 죽을 만큼 걱정할 것이다. 
3,아무에게도 털어놓을 수가 없다. 
4,내가 병이 든 것일 수도 있다. 
6,내가 옳다는 근거는 어디에도 없다. 내겐 경험도 없다. 자신이 없다. 
7,순순히 인정하면 돼. 모든 일이 편해질 거야. 신경 쓸 일도 확 줄겠지. 
8,나는 아이들을 무시하고 아이들은 나를 무시하고...
9,끊임없는 순환. 그 끝엔 아무것도 남지 않을 거라는 걸 알면서도 나는 그 배에 올라탄다. 
10,"치열한 입시 세계로 입문, 지독한 합리화, 혹은 완벽한 도피. "
11,아끼던 것들을 아무렇게나 굴린다. 애정 없는 조련사처럼. 그저 다룬다. 
12,나 한 사람의 안락을 쫓아서. 똑바로 말할 자신이 없어 돌려 말한다. 
13,거칠어졌다. 슬프다. 
14,그러나 미신처럼 뜨겁게 달아오른 불안을 잠재우려면 무언가에 열중하는 수밖에 도리가 없다. 
15,부족하기 짝이 없는 나에게서 관심을 돌리려면 열중할 만한 것이 필요했다. 
16,어쩔 수 없잖아. 이게 최선이야. 
17,"나는 이것들이 모든 것이라고 철썩같이 믿고 만다. 나는 알고 싶지도 않다고, 알 능력도 없다고 믿어 버린다. "
18,"죽을 것만 같았다. 나는 생각에 쫓겨 하루, 또 하루, 나는 달린다. "
19,선생님은 과도하게 의욕을 앞세우다가도 순식간에 무기력한 나락으로 떨어지기를 반복하는 듯했다. 나를 무의식적으로 피하는 것 같다. 
20,아래를 내려다본다. 균형을 잃고 팔을 허공에서 휘젓다가 간신히 균형을 잡는다. 실수할까 두렵다. 
21,춥고 두렵다. 삐긋하면 끝도 보이지 않는 아래로 떨어질 것이다. 
22,내 잘못이 아니었어. 
23,그런데도 나는 잘못되었어. 이게 말이 된다고 생각해. 
24,울음이 나왔다. 울음과 함께 날 아프게 하는 병균이 빠져나갔으면. 
25,"엄마, 실망시켜서 죄송해요. 정말 죄송해요... 하지만 이건 제 탓이 아니잖아요. "
26,되고 싶은 건 없지만 공부는 계속 하고 싶어요. 그리고 무엇보다도... 엄마를 슬프게 만들고 싶지 않아요. 슬퍼하는 모습 보는 것도 지겨워요. 
27,"무서워요. 나라는 아이, 진절머리가 나요. "
28,아이는 나에게서 아무것도 기대하지 않았다. 오히려 나를 보호하려고 안간힘을 쓰고 있었다. 나는 다 알면서도 받기만 했다. 
29,이게 다 무슨 소용일까?
30,내가 할 수 있을까? 엄마는? 엄마는 그런 나를 견뎌 줄까?
31,만약 지운다면 나는 이전과 똑같아질 수 있을가? 
32,똑같이 평범하게? 평범해지면 그 다음엔 무얼 하지? 공부?
33,천장이 나를 바라본다. 
34,벽이 나를 바라본다. 
35,문이 나를 바라본다.
36,혐오스러워. 역겨워. 구역질 나. 지독해. 더러워. 잔인해. 끔찍해. 소름 끼쳐. 
37,나는 고름. 구더기. 
